t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
1	0	38.0	37.0	37.0	38.0	34.432014	35.613003	3052000	3782000	5471000	1853000	999000	7482508
6	0	43.000004	41.000004	43.000004	40.0	34.423264	35.646	3052000	3782000	5471000	1853000	999000	7318424
11	0	40.0	40.0	41.000004	43.000004	34.409935	36.303	3052000	3782000	5471000	1853000	999000	7199812
16	0	42.000004	41.000004	42.000004	42.000004	34.34487	36.663002	3052000	3782000	5471000	1853000	999000	7095568
22	0	45.000004	45.000004	48.000004	45.000004	34.21981	37.519	3052000	3782000	5471000	1853000	999000	6934296
27	0	45.000004	44.000004	45.000004	45.000004	34.11381	38.893	3052000	3782000	5471000	1853000	999000	6824180
32	0	47.000004	45.000004	46.000004	45.000004	34.07373	40.06	3052000	3782000	5471000	1853000	999000	6850416
37	0	60.000004	51.000004	48.000004	48.000004	34.03526	40.863003	3052000	3782000	5471000	1853000	999000	6785040
43	0	69.0	55.000004	52.000004	51.000004	34.113407	41.539	3052000	3782000	5471000	1853000	999000	6164908
48	0	61.000004	52.000004	51.000004	50.000004	34.14972	42.118004	3052000	3782000	5471000	1853000	999000	5546228
53	0	62.000004	53.000004	51.000004	51.000004	34.17151	42.439003	3052000	3782000	5471000	1853000	999000	5309040
59	0	62.000004	53.000004	52.000004	51.000004	34.39292	42.735	3052000	3782000	5471000	1853000	999000	4965940
64	0	64.0	54.000004	52.000004	52.000004	34.60547	43.029003	3052000	3782000	5471000	1853000	999000	4442496
70	0	61.000004	57.000004	57.000004	54.000004	34.797997	43.408	3052000	3782000	5471000	1853000	999000	3814444
75	0	63.000004	59.000004	61.000004	55.000004	34.913517	44.328003	3052000	3782000	5471000	1853000	999000	3197856
80	0	77.0	60.000004	57.000004	55.000004	35.161255	45.023003	3052000	3782000	5471000	1853000	999000	2665820
85	0	70.0	59.000004	57.000004	56.000004	35.399082	45.735	3052000	3782000	5471000	1853000	999000	2115264
91	0	70.0	59.000004	57.000004	56.000004	35.576584	46.169003	3052000	3782000	5471000	1853000	999000	1512676
96	0	96.00001	92.00001	94.00001	73.0	35.683083	46.759003	3052000	3782000	5471000	1853000	999000	1255272
101	0	75.0	65.0	64.0	62.000004	35.96751	49.988003	3052000	3782000	5471000	1853000	999000	2259904
107	0	72.0	62.000004	60.000004	60.000004	36.35624	49.7	3052000	3782000	5471000	1853000	999000	7271796
112	0	48.000004	48.000004	48.000004	48.000004	36.443707	48.766003	3052000	3782000	5471000	1853000	999000	7417320
117	0	47.000004	46.000004	47.000004	49.000004	36.770706	45.829002	3052000	3782000	5471000	1853000	999000	7271112
123	0	46.000004	46.000004	46.000004	46.000004	36.91788	44.012	3052000	3782000	5471000	1853000	999000	7104884
128	0	62.000004	53.000004	51.000004	50.000004	37.05917	43.135002	3052000	3782000	5471000	1853000	999000	6929640
133	0	50.000004	48.000004	49.000004	49.000004	37.049824	43.386	3052000	3782000	5471000	1853000	999000	6898072
138	0	49.000004	47.000004	49.000004	48.000004	36.8699	43.920002	3052000	3782000	5471000	1853000	999000	6849004
144	0	67.0	50.000004	48.000004	49.000004	36.765316	44.112003	3052000	3782000	5471000	1853000	999000	6828060
149	0	61.000004	58.000004	58.000004	53.000004	36.43746	44.256	3052000	3782000	5471000	1853000	999000	6377560
154	0	65.0	56.000004	54.000004	54.000004	36.363697	44.488003	3052000	3782000	5471000	1853000	999000	5699312
160	0	65.0	56.000004	55.000004	54.000004	36.287548	44.962	3052000	3782000	5471000	1853000	999000	5008232
165	0	65.0	56.000004	55.000004	54.000004	36.34583	45.132004	3052000	3782000	5471000	1853000	999000	4368880
170	0	57.000004	56.000004	56.000004	53.000004	36.40178	45.233	3052000	3782000	5471000	1853000	999000	4000940
175	0	58.000004	56.000004	56.000004	54.000004	36.50633	45.025	3052000	3782000	5471000	1853000	999000	3781696
181	0	60.000004	57.000004	57.000004	54.000004	36.56906	44.798	3052000	3782000	5471000	1853000	999000	3431980
186	0	62.000004	58.000004	59.000004	55.000004	36.675644	44.789	3052000	3782000	5471000	1853000	999000	2948972
191	0	62.000004	60.000004	61.000004	56.000004	36.777954	45.269	3052000	3782000	5471000	1853000	999000	2490448
196	0	71.0	60.000004	58.000004	57.000004	36.927494	45.753002	3052000	3782000	5471000	1853000	999000	1975168
202	0	78.0	61.000004	59.000004	57.000004	37.025032	46.298	3052000	3782000	5471000	1853000	999000	1369456
207	0	86.00001	84.00001	89.00001	75.0	37.08637	48.455	3052000	3782000	5471000	1853000	999000	1680336
212	0	65.0	59.000004	58.000004	58.000004	37.254284	49.65	3052000	3398000	3798000	1853000	999000	4656224
218	0	51.000004	50.000004	50.000004	51.000004	37.455105	48.600002	3052000	3398000	3798000	1853000	999000	7480444
223	0	49.000004	48.000004	49.000004	51.000004	37.611618	46.612003	3052000	3398000	3798000	1853000	999000	7386088
228	0	46.000004	45.000004	47.000004	49.000004	37.67468	44.88	3052000	3398000	3798000	1853000	999000	7253036
233	0	47.000004	45.000004	46.000004	47.000004	37.735218	43.715004	3052000	3782000	5471000	1853000	999000	7093888
239	0	56.000004	52.000004	51.000004	51.000004	37.752583	43.535004	3052000	3782000	5471000	1853000	999000	6989636
244	0	64.0	53.000004	52.000004	51.000004	37.763004	44.402	3052000	3782000	5471000	1853000	999000	6902308
249	0	54.000004	50.000004	50.000004	50.000004	37.633934	44.940002	3052000	3782000	5471000	1853000	999000	6950216
255	0	66.0	56.000004	54.000004	54.000004	37.51003	45.2	3052000	3782000	5471000	1853000	999000	6733256
260	0	67.0	57.000004	55.000004	55.000004	37.35368	45.460003	3052000	3782000	5471000	1853000	999000	5973812
265	0	67.0	58.000004	56.000004	56.000004	37.259872	45.845	3052000	3782000	5471000	1853000	999000	5205192
271	0	67.0	57.000004	56.000004	55.000004	37.20973	46.085003	3052000	3782000	5471000	1853000	999000	4561944
276	0	62.000004	59.000004	61.000004	55.000004	37.308666	46.120003	3052000	3782000	5471000	1853000	999000	4038000
281	0	59.000004	59.000004	58.000004	54.000004	37.330933	46.005	3052000	3782000	5471000	1853000	999000	3863264
286	0	60.000004	59.000004	58.000004	54.000004	37.40895	45.725002	3052000	3782000	5471000	1853000	999000	3547280
292	0	60.000004	63.000004	60.000004	54.000004	37.545174	45.603	3052000	3782000	5471000	1853000	999000	3162548
297	0	73.0	63.000004	60.000004	59.000004	37.63101	45.819004	3052000	3782000	5471000	1853000	999000	2781376
302	0	71.0	60.000004	57.000004	57.000004	37.701847	46.202003	3052000	3782000	5471000	1853000	999000	2185276
308	0	67.0	58.000004	58.000004	58.000004	37.784428	46.808002	3052000	3398000	3798000	1853000	999000	1638252
313	0	80.0	83.00001	87.00001	73.0	37.808475	47.449	3052000	3398000	3798000	1853000	999000	1587740
318	0	66.0	60.000004	59.000004	60.000004	37.850174	49.593002	3052000	3398000	3798000	1853000	999000	2526364
323	0	61.000004	56.000004	56.000004	56.000004	37.85956	49.336002	2937000	3168000	3424000	1561000	999000	7247044
329	0	47.000004	46.000004	47.000004	48.000004	38.045403	47.403004	3052000	3168000	3277000	1853000	999000	7479732
334	0	45.000004	44.000004	45.000004	46.000004	38.131737	45.428	3052000	3168000	3277000	1853000	999000	7450132
339	0	54.000004	53.000004	53.000004	48.000004	38.21461	43.943	3052000	3168000	3424000	1853000	999000	7374888
344	0	46.000004	45.000004	46.000004	48.000004	38.211338	43.488003	3052000	3398000	3798000	1853000	999000	7245532
349	0	50.000004	47.000004	48.000004	47.000004	38.209377	42.960003	3052000	3398000	3798000	1853000	999000	7061440
355	0	50.000004	48.000004	51.000004	49.000004	38.120472	42.848003	3052000	3398000	3798000	1853000	999000	6911480
360	0	50.000004	48.000004	50.000004	50.000004	37.849304	43.629	3052000	3782000	5471000	1853000	999000	6897800
365	0	50.000004	49.000004	50.000004	50.000004	37.701603	44.163002	3052000	3782000	5471000	1853000	999000	6909840
371	0	69.0	55.000004	53.000004	52.000004	37.61298	44.81	3052000	3782000	5471000	1853000	999000	6835136
376	0	67.0	57.000004	56.000004	55.000004	37.430016	45.109	3052000	3782000	5471000	1853000	999000	6165712
381	0	67.0	57.000004	55.000004	55.000004	37.254375	45.773003	3052000	3782000	5471000	1853000	999000	5458028
387	0	67.0	57.000004	56.000004	55.000004	37.214615	46.068	3052000	3782000	5471000	1853000	999000	4783624
392	0	61.000004	57.000004	58.000004	55.000004	37.310402	46.258003	3052000	3782000	5471000	1853000	999000	4248360
397	0	62.000004	59.000004	59.000004	55.000004	37.402348	46.250004	3052000	3782000	5471000	1853000	999000	3808284
402	0	60.000004	59.000004	59.000004	55.000004	37.57522	46.116	3052000	3782000	5471000	1853000	999000	3669380
408	0	60.000004	57.000004	58.000004	55.000004	37.713665	46.039	3052000	3782000	5471000	1853000	999000	3228000
413	0	77.0	60.000004	57.000004	56.000004	37.809235	46.125004	3052000	3782000	5471000	1853000	999000	2791936
418	0	70.0	60.000004	58.000004	57.000004	37.864326	46.719	3052000	3782000	5471000	1853000	999000	2265704
424	0	63.000004	57.000004	56.000004	56.000004	37.917213	47.049004	3052000	3398000	3798000	1853000	999000	1610148
429	0	83.00001	82.00001	86.00001	71.0	37.99077	47.063004	3052000	3398000	3798000	1853000	999000	1293420
434	0	84.00001	84.00001	90.00001	75.0	38.04484	50.296	3052000	3398000	3798000	1853000	999000	2092128
440	0	86.00001	85.00001	91.00001	77.0	38.077286	53.101	3052000	3398000	3798000	1853000	999000	2859604
445	0	87.00001	85.00001	91.00001	77.0	38.33307	55.471004	2841000	3168000	3277000	1345000	609000	3066000
