t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
0	0	41.000004	40.0	41.000004	42.000004	35.847347	38.949	3052000	3782000	5471000	1853000	999000	7558268
5	0	41.000004	41.000004	40.0	41.000004	35.7933	38.7	3052000	3782000	5471000	1853000	999000	7491772
10	0	43.000004	42.000004	49.000004	45.000004	35.821243	38.912003	3052000	3782000	5471000	1853000	999000	7308740
16	0	44.000004	43.000004	44.000004	45.000004	35.84807	39.162003	3052000	3782000	5471000	1853000	999000	7195704
21	0	48.000004	47.000004	50.000004	48.000004	35.888924	39.809002	3052000	3782000	5471000	1853000	999000	7015224
26	0	50.000004	47.000004	47.000004	47.000004	35.81832	41.243004	3052000	3782000	5471000	1853000	999000	7010320
31	0	50.000004	48.000004	48.000004	48.000004	35.770443	42.158	3052000	3782000	5471000	1853000	999000	6995116
37	0	67.0	54.000004	51.000004	51.000004	35.804806	42.842003	3052000	3782000	5471000	1853000	999000	6983740
42	0	64.0	54.000004	53.000004	52.000004	35.865368	43.328003	3052000	3782000	5471000	1853000	999000	6331440
47	0	64.0	54.000004	53.000004	53.000004	35.853916	43.963	3052000	3782000	5471000	1853000	999000	5578468
53	0	65.0	55.000004	54.000004	54.000004	35.980118	44.319	3052000	3782000	5471000	1853000	999000	4943976
58	0	62.000004	57.000004	55.000004	54.000004	36.05584	44.783	3052000	3782000	5471000	1853000	999000	4482844
63	0	63.000004	61.000004	61.000004	55.000004	36.345932	44.866	3052000	3782000	5471000	1853000	999000	3926112
68	0	58.000004	55.000004	57.000004	53.000004	36.58118	44.95	3052000	3782000	5471000	1853000	999000	3603356
73	0	60.000004	59.000004	59.000004	54.000004	36.744354	44.872	3052000	3782000	5471000	1853000	999000	3307104
79	0	72.0	58.000004	56.000004	55.000004	36.912674	44.966003	3052000	3782000	5471000	1853000	999000	2909344
84	0	58.000004	58.000004	57.000004	55.000004	37.074265	45.382004	3052000	3782000	5471000	1853000	999000	2522532
89	0	69.0	59.000004	57.000004	56.000004	37.224995	45.81	3052000	3782000	5471000	1853000	999000	1982628
95	0	73.0	61.000004	59.000004	58.000004	37.323814	46.750004	3052000	3782000	5471000	1853000	999000	1366856
100	0	84.00001	88.00001	90.00001	77.0	37.36276	49.329002	3052000	3782000	5471000	1853000	999000	2076356
105	0	84.00001	87.00001	90.00001	80.0	37.51305	52.519	3052000	3398000	3798000	1853000	999000	2780832
111	0	85.00001	84.00001	90.00001	78.0	37.76908	54.741	3052000	3168000	3424000	1853000	999000	3191864
116	0	85.00001	84.00001	90.00001	77.0	37.98241	56.127003	2937000	3168000	3277000	1561000	867000	3169560
121	0	84.00001	84.00001	89.00001	77.0	38.53757	57.006004	2841000	2937000	2770000	1345000	609000	3169352
127	0	82.00001	82.00001	87.00001	76.0	39.160233	57.545002	2688000	2707000	2396000	1198000	609000	3154964
132	1	82.00001	81.00001	86.00001	75.0	39.45888	57.636	2534000	2707000	2303000	963000	489000	3145652
137	1	79.0	78.0	82.00001	74.0	39.919064	57.429	2534000	2707000	2303000	963000	489000	3071680
143	1	81.00001	78.0	80.0	70.0	40.195175	57.028004	2400000	2592000	2008000	833000	403000	3051032
148	1	74.0	72.0	75.0	68.0	40.64469	56.210003	2284000	2457000	1816000	740000	369000	3048848
154	1	70.0	70.0	73.0	67.0	40.78024	55.565002	2188000	2342000	1655000	647000	318000	3159796
159	1	68.0	67.0	70.0	65.0	40.86157	54.336002	2188000	2342000	1655000	647000	318000	3140656
164	1	66.0	65.0	68.0	63.000004	40.9182	53.568	2092000	2208000	1462000	585000	318000	3161780
170	1	63.000004	63.000004	65.0	62.000004	40.93174	52.292004	1939000	2208000	1462000	535000	318000	3162556
175	1	62.000004	62.000004	64.0	60.000004	40.912117	51.291004	1862000	2208000	1462000	480000	369000	3169728
